Date;Open;High;Low;Close
23/09/23;26578,55593;26634,18598;26520,51983;26579,38974
24/09/23;26579,37399;26716,05846;2622,105;26256,82579
25/09/23;26253,7753;26421,50836;26011,46962;26298,47955
26/09/23;26294,75867;26389,88478;26090,7124;26217,24934
27/09/23;2620,949835;26817,84232;26111,46438;26352,71762
28/09/23;2635,581239;27259,49922;26327,32171;27021,54676
29/09/23;27024,84171;27225,93843;2672,17628;26911,7216
30/09/23;26911,68918;27091,79551;26888,9678;26967,9163
01/10/23;26967,39743;28047,23771;26965,09429;27983,75038
02/10/23;27976,79915;28494,45964;27347,78758;2753,078489
03/10/23;27508,25182;27667,19203;27216,00132;27429,97902
04/10/23;2742,9075;27826,65795;27248,10625;27799,3941
05/10/23;27798,64713;28091,86124;27375,60142;27415,91198
06/10/23;27412,12242;28252,53757;27215,55245;27946,59678
07/10/23;2794,678163;28028,09209;27870,42346;27968,83887
08/10/23;27971,67811;28102,17039;27740,66302;27935,08958
09/10/23;27934,47216;27989,4709;27302,56192;27583,67859
10/10/23;27589,2011;27715,84835;2730,165508;27391,01952
11/10/23;27392,07555;27474,11619;2656,109937;26873,32112
12/10/23;26873,29249;26921,4389;2655,832078;26756,79864
13/10/23;26752,87956;27092,69675;26686,32231;26862,37545
14/10/23;26866,20324;26968,99922;26814,58659;26861,7062
15/10/23;26858,01173;27289,17032;26817,89401;27159,65292
16/10/23;27162,62823;29448,13904;27130,47348;2851,946668
17/10/23;28522,09817;28618,75239;2811,018612;28415,74814
18/10/23;28413,53081;28889,00959;28174,25255;28328,34115
19/10/23;28332,41531;28892,47368;2817,798754;28719,80613
20/10/23;28732,81155;30104,08561;28601,67016;29682,94927
21/10/23;29683,38182;30287,48165;2948,175231;29918,41167
22/10/23;29918,65504;3019,943311;29720,31345;2999,389652
23/10/23;30140,68486;34370,43877;30097,82874;33086,23297
24/10/23;33077,30395;35150,4335;32880,76173;33901,52656
25/10/23;33916,04405;35133,75757;33709,11031;34502,82089
26/10/23;34504,28742;34832,90854;33762,32329;34156,64983
27/10/23;34156,50069;34238,21077;33416,88549;33909,79928
28/10/23;33907,72365;34399,38898;338,7480478;34089,57587
29/10/23;34089,37174;34743,26242;33947,56718;34538,48209
30/10/23;34531,74137;34843,9355;341,1097396;34502,36466
31/10/23;3450,007774;34719,25405;34083,30946;34667,77936
01/11/23;3465,727532;35527,93156;34170,69259;35437,25318
02/11/23;35441,57739;35919,8436;34401,57491;34938,2424
03/11/23;3494,247432;3494,247432;34133,43962;34732,32558
04/11/23;34736,32341;3525,603275;34616,69334;35082,19722
05/11/23;3509,001302;35340,33972;34594,24258;35049,35592
06/11/23;35044,78992;35286,02683;34765,36485;35037,36944
07/11/23;35047,79363;35892,41637;34545,8151;35443,56136
08/11/23;35419,47672;35994,41653;35147,80081;35655,27608
09/11/23;35633,63439;37926,2568;35592,10325;36693,12363
10/11/23;36702,25186;37493,8013;36362,75523;37313,96969
11/11/23;3731,007076;37407,09328;36773,66646;37138,05054
12/11/23;37133,99088;37227,69256;36779,11653;37054,52014
13/11/23;37070,30587;37405,1153;36399,60511;36502,35734
14/11/23;3649,178758;36753,35219;34948,50028;35537,64052
15/11/23;35548,11279;37964,89283;35383,78097;37880,58317
16/11/23;37879,97994;3793,46252;3554,547334;36154,76924
17/11/23;36164,8236;36704,4828;35901,23556;36596,68192
18/11/23;36625,37148;36839,28287;36233,31173;36585,70293
19/11/23;36585,7657;37509,35626;36414,59828;3738,654777
20/11/23;37374,07468;37756,81929;36882,53198;37476,95586
21/11/23;37469,15971;37631,13964;35813,81136;35813,81136
22/11/23;35756,55326;37856,97991;35670,97188;37432,33831
23/11/23;37420,43388;3764,391842;36923,86436;37289,62066
24/11/23;37296,31683;38415,3382;37261,60605;37720,28115
25/11/23;37721,41345;37892,42997;37617,41683;3779,679234
26/11/23;37796,82886;37820,30134;37162,74915;37479,12229
27/11/23;37454,19196;37559,35455;3675,01271;37254,16885
28/11/23;37247,99117;38368,47995;36891,08936;378,3108687
29/11/23;3782,610552;38366,113;37612,63162;37858,49405
30/11/23;37861,11888;3814,175355;37531,14163;37712,74777
01/12/23;37718,00963;38954,11043;37629,35891;38688,74836
